Model,Accuracy,Precision,Recall,F1
TCN-only,0.8874074671722775,0.0,0.0,0.0
Isolation Forest,0.11400447788288924,0.11275173207829196,1.0,0.20265388734593112
Hybrid Fusion,0.440728563648466,0.13705051299701707,0.7490146900752418,0.23170495164731636
