ResidualScore,Status,Risk,ISOScore,ISOScoreSmooth,AEScore,AEScoreSmooth,FinalRisk,PersistFlag,PredictedStage
0.2518881,1,0.12497697,0.9999999731863455,0.9999999731863455,0.00032044045,0.00032044044928625226,0.51766783,0,0
0.24879305,1,0.123427734,0.9999999731863455,0.9999999731863455,0.0003323956,0.0003264180268160999,0.51766783,0,0
0.25550723,1,0.12678854,0.9999999731863455,0.9999999731863455,0.00031999228,0.00032427611101108295,0.51766783,0,0
0.2561155,1,0.127093,0.9999999731863455,0.9999999731863455,0.00033398895,0.00032670432119630277,0.51766783,0,0
0.25927538,1,0.1286747,0.9999999731863455,0.9999999731863455,0.00033091585,0.0003275466267950833,0.51766783,0,0
0.26163697,1,0.1298568,0.9999999731863455,0.9999999731863455,0.00035277318,0.00033175105151409906,0.52070516,0,0
0.2656335,1,0.13185728,0.9999999731863455,0.9999999731863455,0.0003549467,0.00033506471663713455,0.52070516,0,0
0.27204967,1,0.13506891,0.9999999731863455,0.9999999731863455,0.00037882602,0.00034053487979690544,0.52070516,0,0
0.26977167,1,0.13392864,0.9999999731863455,0.9999999731863455,0.0003951962,0.0003466083597029663,0.52070516,0,0
0.27141818,1,0.13475281,0.9999999731863455,0.9999999731863455,0.0003785651,0.00034980403434019535,0.52070516,0,0
0.2742832,1,0.13618691,0.9999999731863455,0.9999999731863455,0.00040033073,0.00035439736992967397,0.52070516,0,0
0.27907974,1,0.13858783,0.9999999731863455,0.9999999731863455,0.00041012213,0.00035904109972761944,0.51728463,0,0
0.282161,1,0.14013016,0.9999999731863455,0.9999999731863455,0.00043507095,0.00036488954971831007,0.51767415,0,0
0.2787768,1,0.1384362,0.9999999731863455,0.9999999731863455,0.0004393767,0.0003702100595026942,0.51767415,0,0
0.28102437,1,0.13956122,0.9999999731863455,0.9999999731863455,0.00042436385,0.0003738203124764065,0.51767415,0,0
0.27897766,1,0.13853674,0.9999999731863455,0.9999999731863455,0.0004411223,0.0003780266870307969,0.51767415,0,0
0.28092346,1,0.1395107,0.9999999731863455,0.9999999731863455,0.0004247705,0.0003807763226658982,0.51767415,0,0
0.2781596,1,0.13812725,0.9999999731863455,0.9999999731863455,0.00043812572,0.00038396240011530206,0.51767415,0,0
0.2811586,1,0.13962841,0.9999999731863455,0.9999999731863455,0.0004256215,0.000386154983731869,0.51767415,0,0
0.28253466,1,0.1403172,0.9999999731863455,0.9999999731863455,0.00043933338,0.000388813903555274,0.51767415,0,0
0.2826306,1,0.14036523,0.9999999731863455,0.9999999731863455,0.00043794303,0.0003911533858627081,0.51767415,0,0
0.28621393,1,0.14215888,0.9999999731863455,0.9999999731863455,0.00043959907,0.00039335546237204903,0.51767415,0,0
0.28906375,1,0.14358535,0.9999999731863455,0.9999999731863455,0.00046455322,0.0003964510169285147,0.51767415,0,0
0.28497323,1,0.14153785,0.9999999731863455,0.9999999731863455,0.000464592,0.00039929022508052486,0.51767415,0,0
0.2870005,1,0.1425526,0.9999999731863455,0.9999999731863455,0.00044689895,0.00040119457407854496,0.51767415,0,0
0.28936943,1,0.14373837,0.9999999731863455,0.9999999731863455,0.0004698553,0.0004071711678989232,0.51767415,0,0
0.28862476,1,0.14336562,0.9999999731863455,0.9999999731863455,0.00046379687,0.0004124272183980793,0.51767415,0,0
0.28900743,1,0.14355716,0.9999999731863455,0.9999999731863455,0.00046594194,0.00041826520464383066,0.51767415,0,0
0.28535575,1,0.14172931,0.9999999731863455,0.9999999731863455,0.00043857232,0.00042244853917509315,0.51767415,0,0
0.28697267,1,0.14253867,0.9999999731863455,0.9999999731863455,0.0004525673,0.00042731459718197584,0.51767415,0,0
0.29057214,1,0.14434038,0.9999999731863455,0.9999999731863455,0.00045458227,0.00043138696113601325,0.51767415,0,0
0.2932046,1,0.14565808,0.9999999731863455,0.9999999731863455,0.0004780238,0.00043631004518829286,0.51767415,0,0
