Model,Accuracy,Precision,Recall,F1
TCN-only,0.2448666609866235,0.9519230769230769,0.011052807859774479,0.021851892727072067
Isolation Forest,0.9179517764335009,0.9030046380318613,0.999888355476164,0.9489801324503311
Hybrid Fusion,0.9237649063032368,1.0,0.9001116071428571,0.9474302496328928
