ResidualScore,RiskTCN,ISOScore,AEScore,DriftScore,DriftFlag,FusionRisk,TrueLabel,FinalAlarm
0.4534092,0.28117207,0.13351361176392446,0.09185865,0.0,0,0.011511702,0,0
0.4103279,0.24892925,0.07695529926977052,0.04789704,0.0,0,0.04045012,0,0
0.6653372,0.4397829,0.21164128523913292,0.06686316,0.0,0,0.6790815,0,0
0.83053434,0.56341946,0.6724536174934652,0.13265996,0.0,0,0.94656694,1,1
0.9549534,0.65653694,0.9039192446095514,0.10907262,0.0,0,0.9952937,1,1
0.522414,0.33281654,0.3683736757900448,0.032546997,0.027854157984256722,0,0.038826857,0,0
0.26085275,0.1370593,0.19496310444170464,0.031228228,0.04596353386129648,0,0.0018359885,0,0
0.46315414,0.28846535,0.12299998194386827,0.0034005772,0.02713679410517217,0,0.009291717,0,0
0.51109046,0.32434177,0.1084731468502484,0.1319219,0.015769748886426294,0,0.034655582,0,0
0.6664558,0.44062006,0.271072712689072,0.048141427,0.06665375679731372,0,0.01829732,0,0
0.744083,0.49871767,0.4550510146166776,0.056942202,0.045055650310082906,0,0.021747472,0,0
0.56174976,0.3622561,0.34557226364529864,0.13803464,0.0017037423948447206,0,0.37395963,1,0
0.50747246,0.321634,0.13553130425266088,0.0934176,0.012917660062129688,0,0.28004923,0,0
0.5923932,0.38519028,0.08625013465314897,0.06842599,0.024473502593381102,0,0.056345075,0,0
0.34559506,0.200482,0.052717116180609286,0.02651615,0.011772236227989175,0,0.0024590725,0,0
0.35414115,0.20687804,0.1008319797508021,0.04868766,0.06023077405989169,0,0.011470202,0,0
0.4459135,0.27556214,0.06354717623993454,0.071507506,0.07286623207961812,0,0.012646723,0,0
0.42962646,0.26337263,0.15716184994954469,0.106318995,0.07966056664784749,0,0.009982713,0,0
0.49155235,0.30971912,0.02910744691070297,0.031613104,0.09284751148600329,0,0.002322443,0,0
0.56478137,0.36452502,0.08789458602406602,0.016436812,0.06106264293193814,0,0.058772452,0,0
0.7132474,0.47563976,0.30210637559097303,0.117910855,0.013527713786988027,0,0.012173444,0,0
1.0533757,0.730198,0.9459803302519227,0.42945763,0.06017643755132501,0,0.99631953,1,1
0.4349634,0.2673669,0.203319850847999,0.035216603,0.06537300996158435,0,0.0027467585,0,0
0.43181744,0.2650124,0.1485057089688327,0.013519789,0.06056101694703103,0,0.0032755223,0,0
0.48981223,0.30841675,0.3741388523214344,0.030105539,0.05140218973159788,0,0.026779167,0,0
0.7200947,0.4807644,0.30244571909466267,0.18113558,0.0477025073308211,0,0.043915927,0,0
0.6716612,0.44451588,0.5261642785702619,0.48271912,0.012466020937319189,0,0.70608985,0,0
0.42384204,0.25904346,0.1270324964666612,0.016033463,0.010322213172912598,0,0.017311431,0,0
0.5980778,0.3894447,0.04701871106429525,0.061079327,0.013613490195109934,0,0.07564165,0,0
0.40557995,0.24537578,0.11307743457236923,0.15089436,0.0049202213684717555,0,0.0043994696,0,0
0.29338175,0.1614046,0.07293101579446817,0.06006717,0.05495948841174442,0,0.0017476352,0,0
0.6191591,0.40522236,0.24053005266664207,0.29942742,0.06802796423435209,0,0.019298563,0,0
0.33696675,0.19402441,0.13592549915077137,0.01770309,0.0728398233652115,0,0.0018906947,0,0
0.440032,0.27116033,0.1257586583837067,0.012022579,0.08675472736358641,0,0.00109357,0,0
1.0260174,0.7097226,0.9164063791564078,0.33080438,0.0043417771657307536,0,0.9950636,1,1
0.69294107,0.46044213,0.7002850887520531,0.1969412,0.05989509721597036,0,0.9868347,0,1
0.6239743,0.40882614,0.51810133675935,0.104552016,0.05155695974826813,0,0.10530707,0,0
0.69713867,0.46358368,0.4533386117222596,0.22811022,0.09963153501351679,1,0.022844829,1,0
0.541581,0.34716144,0.2604903585179634,0.016444279,0.11407110095024109,1,0.033112805,0,0
0.6141858,0.40150025,0.23181711005767824,0.110466026,0.05373062988122301,0,0.25947836,0,0
0.5231827,0.33339182,0.2361415680046955,0.19157462,0.03383142948150636,0,0.009934889,0,0
0.78222513,0.52726394,0.4304257724875453,0.14192715,0.0520187278588613,0,0.43307522,0,0
0.5312154,0.33940366,0.24215839055439464,0.106130496,0.026590401927630125,0,0.024201246,0,0
0.63409746,0.4164025,0.27048892268650804,0.07935186,0.039398204286893224,0,0.23414819,0,0
0.9632476,0.66274446,0.7212031724258602,0.31683922,0.07623829692602158,0,0.23441106,0,0
0.6651452,0.43963918,0.2428048465378975,0.044398148,0.08972906519969304,0,0.01840849,0,0
0.49686176,0.31369275,0.043159568765802944,0.05403392,0.0457438066601753,0,0.0059522116,0,0
0.5526313,0.3554317,0.14020005471673624,0.048635367,0.04588078012069069,0,0.15121765,0,0
0.5982236,0.38955384,0.36582265378505235,0.4296584,0.037849893669287316,0,0.12519857,0,0
0.4223711,0.2579426,0.04044892187357952,0.002940938,0.03955773363510767,0,0.0032847356,0,0
0.63764584,0.41905814,0.17968430369369195,0.22873288,0.04178788711627324,0,0.009572207,0,0
0.42402926,0.2591836,0.039914021416938915,0.080725394,0.036989238361517573,0,0.0012055408,0,0
0.6378511,0.4192118,0.13849927972342965,0.020644266,0.029294715821743034,0,0.030752623,0,0
0.51356554,0.32619417,0.08783293378212137,0.051842622,0.04400604317585627,0,0.032066345,0,0
0.20346098,0.094106264,0.2593628640001129,0.03569436,0.06962962473432227,0,0.00086606346,0,0
0.4549144,0.2822986,0.06667311119302718,0.104251176,0.09036600813269613,0,0.001969817,0,0
0.95092297,0.65352046,0.6472838774434464,0.39943352,0.01846545164783797,0,0.56802356,0,0
1.1832876,0.82742643,0.8595148274064797,1.0473423,0.044231374810139334,0,0.29942778,0,0
0.248751,0.12800214,0.22940958585188284,0.018556464,0.013307721167802766,0,0.002852008,0,0
0.23787954,0.11986574,0.2205863321626085,0.0746115,0.022643284002939856,0,0.0029560612,0,0
0.33714986,0.19416146,0.03706391273975977,0.039475597,0.0039239615201950295,0,0.0034712085,0,0
0.34097975,0.19702782,0.11301660848488337,0.08514162,0.08043475002050399,0,0.0041761813,0,0
0.25156212,0.13010603,0.22899726897380354,0.024612695,0.21776821762323378,1,0.0010079858,0,0
0.44230062,0.2728582,0.08236323986812344,0.040237445,0.18885360012451807,1,0.008607174,0,0
0.7642254,0.51379263,0.36478874525088234,0.06384457,0.10353722274303434,1,0.06953249,0,0
0.71885794,0.4798388,0.24422939105228053,0.14800058,0.047048312425613414,0,0.029540418,0,0
0.24107227,0.12225523,0.2320884171489452,0.03434397,0.05245046640435852,0,0.0019061755,0,0
