ResidualScore,Status,Scenario,Risk
0.5318056,1,carton_1.csv,0.08228886
0.53705484,1,carton_1.csv,0.0831075
0.545039,1,carton_1.csv,0.084352665
0.5417144,1,carton_1.csv,0.08383418
0.55226254,1,carton_1.csv,0.08547921
0.54365987,1,carton_1.csv,0.08413758
0.54482436,1,carton_1.csv,0.08431919
0.549935,1,carton_1.csv,0.085116215
0.5463387,1,carton_1.csv,0.08455536
0.53947914,1,carton_1.csv,0.08348558
0.5491531,1,carton_1.csv,0.08499427
0.5497125,1,carton_1.csv,0.08508151
0.5529491,1,carton_1.csv,0.08558627
0.57191485,1,carton_1.csv,0.08854406
0.5713622,1,carton_1.csv,0.088457875
0.56718427,1,carton_1.csv,0.08780631
0.58098394,1,carton_1.csv,0.08995842
0.57877266,1,carton_1.csv,0.089613564
0.57160026,1,carton_1.csv,0.088495
0.57840663,1,carton_1.csv,0.089556485
0.57320267,1,carton_1.csv,0.0887449
0.57264405,1,carton_1.csv,0.08865779
0.57686365,1,carton_1.csv,0.08931585
0.5776513,1,carton_1.csv,0.08943869
0.58370453,1,carton_1.csv,0.09038271
0.5765799,1,carton_1.csv,0.0892716
0.5764346,1,carton_1.csv,0.08924894
0.5814756,1,carton_1.csv,0.0900351
0.57671654,1,carton_1.csv,0.089292906
0.58127654,1,carton_1.csv,0.09000406
0.5879651,1,carton_1.csv,0.09104716
0.58951205,1,carton_1.csv,0.09128842
0.5893456,1,carton_1.csv,0.09126245
0.59059346,1,carton_1.csv,0.09145707
0.58928645,1,carton_1.csv,0.091253236
0.6012511,1,carton_1.csv,0.093119174
0.5986371,1,carton_1.csv,0.09271151
0.59602916,1,carton_1.csv,0.09230479
0.5981355,1,carton_1.csv,0.09263328
0.60126287,1,carton_1.csv,0.09312101
0.59885174,1,carton_1.csv,0.09274498
0.5952434,1,carton_1.csv,0.09218224
0.60478145,1,carton_1.csv,0.09366974
0.5997384,1,carton_1.csv,0.09288326
0.6072844,1,carton_1.csv,0.09406009
0.6013273,2,carton_1.csv,0.09313105
0.6021405,2,carton_1.csv,0.093257874
0.6189505,2,carton_1.csv,0.09587946
0.6081592,2,carton_1.csv,0.09419651
0.6076791,2,carton_1.csv,0.09412165
0.60901797,2,carton_1.csv,0.094330445
0.6052207,2,carton_1.csv,0.09373824
0.61180896,2,carton_1.csv,0.09476571
0.6147272,2,carton_1.csv,0.09522082
0.62037104,2,carton_1.csv,0.096101
0.615311,2,carton_1.csv,0.09531187
0.621166,2,carton_1.csv,0.09622498
0.6190229,2,carton_1.csv,0.09589075
0.6140481,2,carton_1.csv,0.09511492
0.61327213,2,carton_1.csv,0.0949939
0.6197089,2,carton_1.csv,0.095997736
0.6199254,2,carton_1.csv,0.0960315
0.62016904,2,carton_1.csv,0.0960695
0.6195425,2,carton_1.csv,0.095971785
0.6208056,2,carton_1.csv,0.09616878
0.6216506,2,carton_1.csv,0.09630055
0.6249196,2,carton_1.csv,0.09681036
0.6322369,2,carton_1.csv,0.09795153
0.63633907,2,carton_1.csv,0.09859128
0.6322478,2,carton_1.csv,0.09795323
0.63140917,2,carton_1.csv,0.09782244
0.63670987,2,carton_1.csv,0.09864911
0.6294621,2,carton_1.csv,0.097518794
0.62909317,2,carton_1.csv,0.09746125
0.6282019,2,carton_1.csv,0.097322255
0.62677586,2,carton_1.csv,0.09709986
0.62975514,2,carton_1.csv,0.09756449
0.6304353,2,carton_1.csv,0.09767056
0.6355874,2,carton_1.csv,0.098474056
0.6391152,2,carton_1.csv,0.09902423
0.64560395,2,carton_1.csv,0.100036174
0.65360737,2,carton_1.csv,0.10128434
0.6593649,2,carton_1.csv,0.10218225
0.6677934,2,carton_1.csv,0.10349671
0.67331517,2,carton_1.csv,0.10435785
0.6693977,2,carton_1.csv,0.103746906
0.6705359,2,carton_1.csv,0.103924416
0.6700756,2,carton_1.csv,0.10385263
0.69041806,2,carton_1.csv,0.10702512
0.6839595,2,carton_1.csv,0.10601787
0.65344775,2,carton_1.csv,0.10125945
0.65512764,2,carton_1.csv,0.10152143
0.65882194,2,carton_1.csv,0.10209758
0.6591586,2,carton_1.csv,0.102150075
0.66508496,2,carton_1.csv,0.10307432
0.6694317,2,carton_1.csv,0.10375221
0.68938005,2,carton_1.csv,0.10686324
0.6853311,2,carton_1.csv,0.10623179
0.666958,2,carton_1.csv,0.10336642
0.6697904,2,carton_1.csv,0.10380815
0.68642235,2,carton_1.csv,0.10640197
0.69169176,2,carton_1.csv,0.10722376
0.67444485,2,carton_1.csv,0.10453403
0.67557925,2,carton_1.csv,0.104710944
0.6755195,2,carton_1.csv,0.10470163
0.67803395,2,carton_1.csv,0.10509376
0.67408735,2,carton_1.csv,0.10447828
0.6812987,2,carton_1.csv,0.10560291
0.68447727,2,carton_1.csv,0.10609863
0.7164577,2,carton_1.csv,0.11108611
0.71598524,2,carton_1.csv,0.11101242
0.7102174,2,carton_1.csv,0.110112906
0.7207127,2,carton_1.csv,0.111749694
0.72507286,2,carton_1.csv,0.11242967
0.7144373,2,carton_1.csv,0.110771015
0.71351415,2,carton_1.csv,0.11062705
0.7145497,2,carton_1.csv,0.11078855
0.7074479,2,carton_1.csv,0.10968099
0.7109308,2,carton_1.csv,0.110224165
0.71172893,2,carton_1.csv,0.110348634
0.71206903,2,carton_1.csv,0.110401675
0.7113189,2,carton_1.csv,0.110284686
0.7089893,2,carton_1.csv,0.10992138
0.70495754,2,carton_1.csv,0.10929261
0.7027037,2,carton_1.csv,0.108941115
0.6828807,2,carton_1.csv,0.10584964
0.68828756,2,carton_1.csv,0.10669286
0.7022737,2,carton_1.csv,0.10887405
0.7119497,2,carton_1.csv,0.11038306
0.71365416,2,carton_1.csv,0.11064888
0.71945626,2,carton_1.csv,0.11155374
0.71675426,2,carton_1.csv,0.11113235
0.7256305,2,carton_1.csv,0.11251664
0.7219404,2,carton_1.csv,0.11194115
0.7283276,2,carton_1.csv,0.11293726
0.71365833,2,carton_1.csv,0.11064953
0.7105303,2,carton_1.csv,0.1101617
0.7266899,2,carton_1.csv,0.11268185
0.72731256,2,carton_1.csv,0.11277896
0.72691023,2,carton_1.csv,0.11271622
0.724733,2,carton_1.csv,0.11237667
0.72354996,2,carton_1.csv,0.11219217
0.7269517,2,carton_1.csv,0.11272269
0.7168433,2,carton_1.csv,0.11114624
1.1236254,0,carton_2.csv,0.17458555
0.13116959,0,carton_2.csv,0.01980806
0.11911988,0,carton_2.csv,0.017928861
0.112133145,0,carton_2.csv,0.01683925
0.10985079,0,carton_2.csv,0.016483309
0.09245424,0,carton_2.csv,0.013770246
0.091320105,0,carton_2.csv,0.013593373
0.084501825,0,carton_2.csv,0.012530035
0.08603398,0,carton_2.csv,0.01276898
0.08465874,0,carton_2.csv,0.012554507
0.083949484,0,carton_2.csv,0.012443895
0.087633446,0,carton_2.csv,0.013018424
0.086947195,0,carton_2.csv,0.0129114
0.08604137,0,carton_2.csv,0.012770133
0.09009101,0,carton_2.csv,0.013401691
0.08969382,0,carton_2.csv,0.013339748
0.09278019,0,carton_2.csv,0.013821079
0.09281725,0,carton_2.csv,0.013826858
0.096520975,0,carton_2.csv,0.01440447
0.09568199,0,carton_2.csv,0.014273627
0.09906289,0,carton_2.csv,0.014800892
0.098776914,0,carton_2.csv,0.014756293
0.09798534,0,carton_2.csv,0.014632843
0.09781436,0,carton_2.csv,0.014606179
0.09798859,0,carton_2.csv,0.01463335
0.09784633,0,carton_2.csv,0.014611164
0.09829998,0,carton_2.csv,0.014681913
0.0939623,0,carton_2.csv,0.014005434
0.09827465,0,carton_2.csv,0.014677962
0.10704221,0,carton_2.csv,0.016045298
0.10020025,0,carton_2.csv,0.014978268
0.09983463,0,carton_2.csv,0.014921248
0.10046212,0,carton_2.csv,0.015019107
0.1092238,0,carton_2.csv,0.016385527
0.09311223,0,carton_2.csv,0.013872863
0.10234879,0,carton_2.csv,0.015313341
0.10114262,0,carton_2.csv,0.015125235
0.100081846,0,carton_2.csv,0.014959802
0.09693613,0,carton_2.csv,0.014469215
0.11068003,0,carton_2.csv,0.016612632
0.090266526,0,carton_2.csv,0.013429063
0.1043324,0,carton_2.csv,0.015622693
0.09715052,0,carton_2.csv,0.01450265
0.09815164,0,carton_2.csv,0.014658779
0.09776099,0,carton_2.csv,0.0145978555
0.097715065,0,carton_2.csv,0.014590693
0.09855258,0,carton_2.csv,0.014721306
0.09836578,0,carton_2.csv,0.014692175
0.09842819,0,carton_2.csv,0.0147019075
0.09724214,0,carton_2.csv,0.0145169385
0.09602632,0,carton_2.csv,0.014327326
0.09595045,0,carton_2.csv,0.014315493
0.09530441,0,carton_2.csv,0.014214741
0.09586762,0,carton_2.csv,0.014302576
0.09987571,0,carton_2.csv,0.0149276545
0.09619746,0,carton_2.csv,0.014354017
0.100109436,0,carton_2.csv,0.014964105
0.0980721,0,carton_2.csv,0.014646374
0.098170884,0,carton_2.csv,0.01466178
0.0978303,0,carton_2.csv,0.014608664
0.10230551,0,carton_2.csv,0.015306591
0.09612576,0,carton_2.csv,0.014342834
0.097744,0,carton_2.csv,0.014595206
0.10219717,0,carton_2.csv,0.015289695
0.099727675,0,carton_2.csv,0.014904568
0.10037275,0,carton_2.csv,0.015005169
0.09947123,0,carton_2.csv,0.014864573
0.10023032,0,carton_2.csv,0.014982957
0.099394225,0,carton_2.csv,0.014852565
0.10566922,0,carton_2.csv,0.015831176
0.082664646,0,carton_2.csv,0.01224352
0.08245838,0,carton_2.csv,0.012211351
0.08245404,0,carton_2.csv,0.012210675
0.08232772,0,carton_2.csv,0.012190975
0.08521941,0,carton_2.csv,0.012641946
0.10124719,0,carton_2.csv,0.015141542
0.097050704,0,carton_2.csv,0.014487083
0.10274003,0,carton_2.csv,0.015374356
0.08737219,0,carton_2.csv,0.01297768
0.09063186,0,carton_2.csv,0.013486038
0.09074513,0,carton_2.csv,0.013503703
0.09021797,0,carton_2.csv,0.013421491
0.09441044,0,carton_2.csv,0.014075324
0.09460332,0,carton_2.csv,0.014105404
0.09525697,0,carton_2.csv,0.014207344
0.098752275,0,carton_2.csv,0.01475245
0.10284053,0,carton_2.csv,0.01539003
0.10322547,0,carton_2.csv,0.015450063
0.10262652,0,carton_2.csv,0.015356654
0.11819236,0,carton_2.csv,0.01778421
0.12449034,0,carton_2.csv,0.018766405
0.13801758,1,carton_2.csv,0.020876031
