Model,Accuracy,Precision,Recall,F1
TCN-only,0.8653198653198653,0.3409090909090909,0.5769230769230769,0.42857142857142855
Isolation Forest,0.8821548821548821,0.3953488372093023,0.6538461538461539,0.4927536231884058
Hybrid Fusion,0.9528619528619529,0.7727272727272727,0.6538461538461539,0.7083333333333334
